,0.0 g,72.65 g,272.25 g,471.56 g,673.02 g,872.42 g,1148.61 g,1345.57 g,1544.88 g,1744.3 g,1943.91 g,2073.13 g,2272.74 g,2472.04 g,2671.46 g,2868.42 g,3149.09 g,3345.72 g,3545.14 g,3716.65 g,3913.6 g,4113.02 g,4312.33 g,4513.81 g,4792.61 g,4992.03 g,5193.52 g,5392.82 g,5589.76 g,5789.34 g,5889.38 g,172.7 g,118.07 g
661,112783,121026,143830,166573,189903,211952,244490,266518,289111,311717,334595,349519,371726,394891,417493,440426,472227,False,517282,537091,558286,582535,604528,627618,660131,682845,706745,728779,750346,773663,785546,132365,126112
662,112891,121058,143685,166598,189379,212283,244036,266247,289170,311472,334299,348831,371852,394664,False,440353,472331,494861,517500,537439,559072,581983,604962,628428,660247,682551,706821,728172,750746,773379,785199,132438,126198
663,112788,121302,143738,166637,188868,212412,243592,266154,289195,311849,334210,348868,371944,394119,417281,440121,471740,494949,517634,537599,559907,581920,604905,628392,660063,682586,705894,727794,750803,773405,784997,False,126059
664,False,120912,143616,166591,188816,212487,243599,266367,289522,311983,334594,349243,372128,394872,417382,439869,471891,494577,517202,537004,560254,581775,605414,False,659363,False,704937,727917,751028,773575,784757,-1,126443
665,112668,False,143751,166414,189096,212703,243847,266248,289145,312403,334618,349376,372233,395417,417763,440130,471856,494449,517559,536754,560849,582242,605404,628148,659332,682446,704371,727668,751223,773481,784692,132468,126365
666,112872,242031,143986,166629,189763,212293,244147,266619,288859,312339,334900,349678,371988,395556,417729,439955,472026,494460,517453,536269,560370,582705,605177,628212,659099,682719,704254,727726,751046,773829,785104,132477,126347
667,112763,17364,143714,166469,190546,212392,244034,266484,288809,311711,334707,349682,372198,395543,418075,440174,472182,494505,517339,536362,559828,582646,605124,627554,659383,682922,704916,727778,751020,773567,785018,132229,126290
668,112665,121256,143829,166542,190070,212175,243984,266351,288812,311790,334486,349795,371969,394894,417927,440120,472245,494490,517436,536672,False,582721,604773,627601,660068,682751,705522,728346,750736,773517,785160,132415,126163
669,112874,121272,143841,166730,189525,212512,244025,266352,288983,311676,334613,349671,371974,394614,417850,439918,472581,494554,517134,536987,558225,582231,604760,627685,False,682910,706251,728983,750574,773399,785269,132476,False
670,112700,121120,143773,False,189282,False,243579,266230,289025,312042,334514,349336,372163,394018,417573,440375,472375,495016,517385,537703,558647,582283,604449,627881,658960,682717,706533,729121,750319,773357,785141,132403,126242
671,112929,120956,False,333035,189117,851343,243754,266630,289378,312310,334915,349470,371845,394039,417289,440187,472016,494830,517388,537463,559828,582130,604605,628580,659187,682449,706273,729109,750177,773679,785109,132478,126251
672,112768,False,143794,17366,189298,107091,243858,266579,289447,312223,334572,349088,372141,394797,417533,440145,471774,494873,517354,537324,560609,581881,605000,628764,659655,682393,705995,False,750614,773502,784744,132472,126463
673,112625,120937,143923,166803,189495,False,243751,266317,289010,312159,334583,349205,372135,395169,417271,440265,471519,494800,517466,537066,560789,582052,605073,628948,660249,682124,704959,728569,750953,773595,784834,132650,126257
674,112711,121236,143862,166413,189973,425047,243743,266337,289083,311794,334852,349389,372065,395789,417505,439912,False,494538,517134,536635,560941,581900,605596,628386,660346,682440,704633,728955,751183,773872,784891,132417,126451
675,112607,121305,143825,166618,189881,17351,243398,266175,288983,311814,False,349512,372119,395646,417715,440151,472169,494477,517328,536790,559597,582118,605365,627681,660474,682674,704723,729038,750846,773528,784774,132308,126279
676,112824,120964,143816,166520,189499,212497,243814,266478,289156,311881,-4194305,349668,372100,395209,418068,439909,472210,494224,517352,536806,558489,582254,605117,626975,660176,682840,705000,729104,750760,773644,785039,132623,126203
677,112606,121053,143684,166529,189500,212089,244159,266504,289019,311906,334696,349453,372288,394857,418263,439949,471723,494643,517364,268492,558152,582038,605066,626489,659906,682932,705959,728705,750943,773451,784932,132500,126457
678,112668,121066,143847,166911,189379,212221,244094,266446,288846,312299,334738,349605,372136,394184,417861,440301,471863,494781,517603,-1,558217,581883,604641,626999,659629,682646,706133,728561,750656,773644,785096,132476,126133
679,112911,121127,143719,166558,189658,212031,243922,266550,289349,312056,334449,349447,372134,394243,417718,440215,471709,494617,517394,537258,559211,582120,604813,627945,659321,682748,706306,727797,750718,774019,784992,132425,126168
680,False,121146,143701,166586,190205,212280,False,266171,False,311698,334545,349239,372403,394332,417390,440370,472090,494833,517516,537312,559962,582499,False,628848,659601,682439,706041,727324,750434,773709,785050,False,126266
