,0.0 g,72.65 g,269.84 g,470.02 g,669.36 g,870.88 g,1070.5 g,1347.91 g,1549.41 g,1748.85 g,1945.82 g,2145.44 g,2272.46 g,2469.43 g,2668.86 g,2870.37 g,3069.99 g,3350.48 g,3549.81 g,3749.24 g,3946.21 g,4145.83 g,4315.0 g,4511.98 g,4713.46 g,4813.52 g,4992.03 g,5193.54 g,5390.52 g,5589.85 g
91,230129,238178,260543,283436,305877,328848,351618,382971,405789,428453,450787,473363,487670,510353,532445,555879,578275,609779,632517,655194,677506,700471,718962,741859,764520,775859,796514,818754,841175,863864
92,230406,238444,260433,283327,305842,328589,351480,382886,405752,428546,450754,473384,487763,510168,532663,555710,578013,609946,632671,655215,677848,700457,718845,741915,764493,775756,796439,818619,841032,863619
93,230076,238385,260686,283363,305919,328696,351561,383025,405895,428528,450430,473309,487781,510105,532818,555664,578134,610060,632467,655142,678101,700297,719141,742006,764708,775626,796276,819080,841299,863706
94,229993,238466,260565,283180,305921,328680,351435,382687,405752,428395,450632,473306,487849,510196,532966,555513,578259,610184,632463,654949,677858,700464,719630,741801,764654,775807,796008,819114,841386,863949
95,230113,238473,260588,283302,305887,328591,351471,382903,405431,428613,FALSE,473485,487941,509944,533056,555224,578153,610520,632441,655296,677660,700202,719639,741704,764859,775988,795768,819070,841406,863949
96,230111,238262,260641,283334,305595,328692,351613,382892,405647,428605,3907583,473409,487674,509957,532739,555337,578388,610317,632520,655430,677622,700112,719885,741550,764698,775768,795957,818946,841347,864172
97,230275,238419,260510,283381,305893,328627,351424,382948,405677,428541,450889,473412,487750,510189,532668,555414,578465,610226,632742,655511,677201,700081,719974,741260,764616,775899,796060,818761,841088,864081
98,230143,238425,260547,283567,305845,328892,351563,383190,405929,428497,450826,473556,487855,510084,532678,555764,578460,609830,632693,655509,677181,699970,719748,741609,764608,775934,796079,818736,841108,863782
99,230151,238341,260445,283317,305714,328972,351607,383072,406189,428267,450587,473391,487728,510437,532544,556159,578426,609506,632725,655116,677224,700322,719468,741742,764491,775892,796286,818381,840996,863792
100,230266,238339,260544,283368,305957,328695,351494,383037,405776,428414,450597,473398,487786,510385,532881,555986,578053,609693,632721,655072,677565,700430,718934,741880,764505,775907,796368,818648,840913,863636
